DATE,CURRENCY
2003-09-10,1167.0
2003-09-11,1170.0
2003-09-12,1170.0
2003-09-15,1171.0
2003-09-16,1169.0
2003-09-17,1170.0
2003-09-18,1167.0
2003-09-19,1165.0
2003-09-22,1147.0
2003-09-23,1153.0
2003-09-24,1150.4
2003-09-25,1151.0
2003-09-26,1148.0
2003-09-29,1147.0
2003-09-30,1148.0
2003-10-01,1151.7
2003-10-02,1147.0
2003-10-03,1146.0
2003-10-06,1151.4
2003-10-07,1149.0
2003-10-08,1149.8
2003-10-09,1148.6
2003-10-10,1145.0
2003-10-13,1147.0
2003-10-14,1174.0
2003-10-15,1170.4
2003-10-16,1172.0
2003-10-17,1177.0
2003-10-20,1180.0
2003-10-21,1181.8
2003-10-22,1178.0
2003-10-23,1189.0
2003-10-24,1185.0
2003-10-27,1182.0
2003-10-28,1188.0
2003-10-29,1177.0
2003-10-30,1178.0
2003-10-31,1183.0
2003-11-03,1189.0
2003-11-04,1185.0
2003-11-05,1185.0
2003-11-06,1180.9
2003-11-07,1179.0
2003-11-10,1174.0
2003-11-11,1177.5
2003-11-12,1172.8
2003-11-13,1171.0
2003-11-14,1171.2
2003-11-17,1182.0
2003-11-18,1178.0
2003-11-19,1177.0
2003-11-20,1191.5
2003-11-21,1195.3
2003-11-24,1202.0
2003-11-25,1202.8
2003-11-26,1202.0
2003-11-27,1203.0
2003-11-28,1202.0
2003-12-01,1200.0
2003-12-02,1195.3
2003-12-03,1195.0
2003-12-04,1191.0
2003-12-05,1190.0
2003-12-08,1186.0
2003-12-09,1185.0
2003-12-10,1189.0
2003-12-11,1187.7
2003-12-12,1185.0
2003-12-15,1182.0
2003-12-16,1190.0
2003-12-17,1190.0
2003-12-18,1191.0
2003-12-19,1193.0
2003-12-22,1194.0
2003-12-23,1195.0
2003-12-24,1199.0
2003-12-25,1199.0
2003-12-26,1199.8
2003-12-29,1195.0
2003-12-30,1197.3
2003-12-31,1192.0
2004-01-01,1192.0
2004-01-02,1195.0
2004-01-05,1192.0
2004-01-06,1185.0
2004-01-07,1186.0
2004-01-08,1181.0
2004-01-09,1178.0
2004-01-12,1176.0
2004-01-13,1181.0
2004-01-14,1180.0
2004-01-15,1186.0
2004-01-16,1185.0
2004-01-19,1185.1
2004-01-20,1188.0
2004-01-21,1188.0
2004-01-22,1184.0
2004-01-23,1184.0
2004-01-26,1180.0
2004-01-27,1180.0
2004-01-28,1171.0
2004-01-29,1172.0
2004-01-30,1171.0
2004-02-02,1170.0
2004-02-03,1168.0
2004-02-04,1168.2
2004-02-05,1166.0
2004-02-06,1167.0
2004-02-09,1166.2
2004-02-10,1158.0
2004-02-11,1160.5
2004-02-12,1160.0
2004-02-13,1156.0
2004-02-16,1158.0
2004-02-17,1156.0
2004-02-18,1158.0
2004-02-19,1167.0
2004-02-20,1173.0
2004-02-23,1179.0
2004-02-24,1173.0
2004-02-25,1170.1
2004-02-26,1177.0
2004-02-27,1178.0
2004-03-01,1176.0
2004-03-02,1182.0
2004-03-03,1177.0
2004-03-04,1170.0
2004-03-05,1175.0
2004-03-08,1173.2
2004-03-09,1171.0
2004-03-10,1173.0
2004-03-11,1170.0
2004-03-12,1180.0
2004-03-15,1173.0
2004-03-16,1171.0
2004-03-17,1166.0
2004-03-18,1156.0
2004-03-19,1156.0
2004-03-22,1158.0
2004-03-23,1159.0
2004-03-24,1154.0
2004-03-25,1158.0
2004-03-26,1157.4
2004-03-29,1152.0
2004-03-30,1153.0
2004-03-31,1142.0
2004-04-01,1140.9
2004-04-02,1141.3
2004-04-05,1142.0
2004-04-06,1149.9
2004-04-07,1139.0
2004-04-08,1143.0
2004-04-09,1143.9
2004-04-12,1141.8
2004-04-13,1143.0
2004-04-14,1157.0
2004-04-15,1153.0
2004-04-16,1162.0
2004-04-19,1155.0
2004-04-20,1154.0
2004-04-21,1155.0
2004-04-22,1163.0
2004-04-23,1158.0
2004-04-26,1154.0
2004-04-27,1152.0
2004-04-28,1154.0
2004-04-29,1170.0
2004-04-30,1173.1
2004-05-03,1171.0
2004-05-04,1173.0
2004-05-05,1163.0
2004-05-06,1166.0
2004-05-07,1171.0
2004-05-10,1189.0
2004-05-11,1187.0
2004-05-12,1181.0
2004-05-13,1185.0
2004-05-14,1186.0
2004-05-17,1182.0
2004-05-18,1184.0
2004-05-19,1175.0
2004-05-20,1178.0
2004-05-21,1175.0
2004-05-24,1178.0
2004-05-25,1179.0
2004-05-26,1179.0
2004-05-27,1169.0
2004-05-28,1164.0
2004-05-31,1159.8
2004-06-01,1160.0
2004-06-02,1164.0
2004-06-03,1164.2
2004-06-04,1163.0
2004-06-07,1159.0
2004-06-08,1158.0
2004-06-09,1155.0
2004-06-10,1159.0
2004-06-11,1163.8
2004-06-14,1163.0
2004-06-15,1157.0
2004-06-16,1157.0
2004-06-17,1161.0
2004-06-18,1156.0
2004-06-21,1157.0
2004-06-22,1157.0
2004-06-23,1158.0
2004-06-24,1152.0
2004-06-25,1148.0
2004-06-28,1152.0
2004-06-29,1151.0
2004-06-30,1154.0
2004-07-01,1152.0
2004-07-02,1151.0
2004-07-05,1152.6
2004-07-06,1155.0
2004-07-07,1151.0
2004-07-08,1150.0
2004-07-09,1149.3
2004-07-12,1147.3
2004-07-13,1149.3
2004-07-14,1152.3
2004-07-15,1163.5
2004-07-16,1164.2
2004-07-19,1157.2
2004-07-20,1160.3
2004-07-21,1163.3
2004-07-22,1162.3
2004-07-23,1167.3
2004-07-26,1161.0
2004-07-27,1163.0
2004-07-28,1167.0
2004-07-29,1168.0
2004-07-30,1165.0
2004-08-02,1164.0
2004-08-03,1164.9
2004-08-04,1165.0
2004-08-05,1163.0
2004-08-06,1156.0
2004-08-09,1156.0
2004-08-10,1155.0
2004-08-11,1155.0
2004-08-12,1157.0
2004-08-13,1155.0
2004-08-16,1159.0
2004-08-17,1162.75
2004-08-18,1158.2
2004-08-19,1156.2
2004-08-20,1154.2
